best epoch, train loss, train accuracy, valid loss, valid accuracy, test loss, test accuracy
014, 13.51, 100.00, 13.44, 100.00, 13.44, 100.00
010, 4.84, 100.00, 4.81, 100.00, 4.81, 100.00
010, 8.55, 100.00, 8.34, 100.00, 8.34, 100.00
010, 4.86, 100.00, 4.78, 100.00, 4.78, 100.00
010, 8.85, 100.00, 8.52, 100.00, 8.52, 100.00
021, 4.16, 100.00, 4.02, 100.00, 4.02, 100.00
010, 43.89, 100.00, 43.34, 100.00, 43.34, 100.00
010, 7.66, 100.00, 7.51, 100.00, 7.51, 100.00
010, 6.50, 100.00, 5.74, 100.00, 5.74, 100.00
010, 14.00, 100.00, 13.59, 100.00, 13.59, 100.00
010, 26.30, 100.00, 25.56, 100.00, 25.56, 100.00
010, 23.84, 100.00, 23.27, 100.00, 23.27, 100.00
039, 4.33, 100.00, 4.33, 100.00, 4.33, 100.00
039, 7.48, 100.00, 7.48, 100.00, 7.48, 100.00
039, 3.51, 100.00, 3.50, 100.00, 3.50, 100.00
039, 42.23, 100.00, 42.23, 100.00, 42.23, 100.00
036, 6.46, 100.00, 6.46, 100.00, 6.46, 100.00
039, 4.43, 100.00, 4.43, 100.00, 4.43, 100.00
039, 12.87, 100.00, 12.87, 100.00, 12.87, 100.00
039, 24.09, 100.00, 24.09, 100.00, 24.09, 100.00
039, 22.09, 100.00, 22.09, 100.00, 22.09, 100.00
039, 13.26, 100.00, 13.26, 100.00, 13.26, 100.00
038, 5.03, 100.00, 5.02, 100.00, 5.02, 100.00
039, 5.17, 100.00, 5.16, 100.00, 5.16, 100.00
039, 3.81, 100.00, 3.79, 100.00, 3.79, 100.00
039, 3.32, 100.00, 3.29, 100.00, 3.29, 100.00
039, 12.73, 100.00, 12.73, 100.00, 12.73, 100.00
039, 2.95, 100.00, 2.94, 100.00, 2.94, 100.00
039, 3.18, 100.00, 3.16, 100.00, 3.16, 100.00
039, 14.08, 100.00, 14.07, 100.00, 14.07, 100.00
